TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
2	5	9.18367346938776	83.7142857142857	0.181632653061225	0	MODERATE	AUTOMN
2	1	12.5142857142857	84.4489795918367	0.175510204081633	1	MODERATE	AUTOMN
8	2	7.09565217391304	85.5217391304348	0.345652173913043	0.4	MODERATE	AUTOMN
8	2	9.02244897959184	88.2040816326531	0.242857142857143	5.8	LOW	AUTOMN
1	2	6.53061224489796	91.3673469387755	0.353061224489796	0	LOW	AUTOMN
1	1	8.73061224489796	85.1632653061225	0.218367346938776	3	LOW	AUTOMN
2	3	7.39148936170213	96.9148936170213	0.168085106382979	2.8	LOW	AUTOMN
1	3	8.74222222222222	98.2	0.182222222222222	18.8	LOW	AUTOMN
5	3	9.475	99.0625	0.127083333333333	26.5	LOW	AUTOMN
1	3	7.67755102040816	96.1836734693878	0.246938775510204	0.1	LOW	AUTOMN
1	2	6.0530612244898	89.1224489795918	0.387755102040816	0	LOW	AUTOMN
1	1	6.57142857142857	90.5102040816327	0.275510204081633	0	LOW	AUTOMN
1	5	14.0612244897959	84.4081632653061	0.859183673469388	0	MODERATE	AUTOMN
5	4	15.6938775510204	78.0204081632653	2.12244897959184	1.1	MODERATE	AUTOMN
3	4	14.1755102040816	85.4081632653061	3.51632653061225	34.8	MODERATE	AUTOMN
3	5	6.08775510204082	90.9591836734694	0.451020408163265	3.3	MODERATE	AUTOMN
3	1	5.72083333333333	97	0.14375	5.3	LOW	AUTOMN
3	5	6.36875	89.9791666666667	0.41875	0	MODERATE	AUTOMN
3	4	13.7916666666667	77.0625	2.35714285714286	2.6	MODERATE	AUTOMN
3	4	12.9770833333333	92.4375	1.11224489795918	32.3	MODERATE	AUTOMN
3	4	12.3897959183673	87.1020408163265	0.910204081632653	33.7	MODERATE	AUTOMN
7	2	4.27755102040816	89.0816326530612	0.197959183673469	3.5	MODERATE	AUTOMN
6	5	12.1591836734694	80.5510204081633	1.03877551020408	1.2	MODERATE	AUTOMN
9	5	12.4632653061224	77.9183673469388	1.28367346938776	0.1	MODERATE	AUTOMN
7	5	14.2163265306122	73.8979591836735	1.25102040816327	0.1	MODERATE	AUTOMN
2	2	5.86530612244898	72.8367346938775	0.181632653061225	0	MODERATE	AUTOMN
8	1	8.94489795918367	70.8163265306122	1.1469387755102	0	MODERATE	AUTOMN
7	1	10.5979591836735	76.469387755102	1.31632653061224	1.2	MODERATE	AUTOMN
4	1	8.29591836734694	96.6938775510204	0.230612244897959	4.5	LOW	AUTOMN
8	5	10.8	89.1020408163265	0.589795918367347	0.1	MODERATE	AUTOMN
2	5	10.1020408163265	81.9183673469388	0.742857142857143	0	MODERATE	AUTOMN
2	1	7.64285714285714	97.7142857142857	0.281632653061224	54	MODERATE	AUTOMN
